date,rice_price,sugar_price,wheat_price,rainfall_mm,temp_c,month,year,wheat_price_lag1,wheat_price_lag2,wheat_price_lag4,rice_price_lag1,rice_price_lag2,rice_price_lag4,sugar_price_lag1,sugar_price_lag2,sugar_price_lag4,wheat_price_roll4,wheat_price_roll8,rice_price_roll4,rice_price_roll8,sugar_price_roll4,sugar_price_roll8,wheat_price_momentum,rice_price_momentum,sugar_price_momentum,rainfall_lag2,rainfall_lag4,is_summer,is_harvest,is_crushing
2013-09-01,77.14500000000001,53.805,39.540000000000006,25.0,29.001666666666665,9,2013,38.22,36.375,34.4,75.815,74.93,74.93,53.83,54.18,53.18,36.2225,35.58,75.15125,74.61312500000001,53.5925,52.91,6.477225240284157,1.1811023622047223,1.2222640090259418,92.0,14.1,0,0,0
2013-10-01,77.14500000000001,53.805,39.85,25.3,25.687096774193545,10,2013,39.540000000000006,38.22,35.895,77.14500000000001,75.815,74.93,53.805,53.83,53.18,37.5075,36.11625,75.70500000000001,75.15687500000001,53.74875,53.1325,8.701030927835074,2.9560923528626715,-0.6921373200442948,213.7,141.6,0,0,0
2013-11-01,77.14500000000001,53.805,40.41,10.9,18.238333333333333,11,2013,39.85,39.540000000000006,36.375,77.14500000000001,77.14500000000001,74.93,53.805,53.805,54.18,38.49625,36.698750000000004,76.25875,75.563125,53.905,53.405625,4.2647828362114115,1.754270263140567,-0.04644250417982221,25.0,92.0,0,0,1
2013-12-01,77.14500000000001,53.805,40.725,1.4,14.037096774193548,12,2013,40.41,39.85,38.22,77.14500000000001,77.14500000000001,75.815,53.805,53.805,53.83,39.505,37.3675,76.81250000000001,75.87125,53.811249999999994,53.63625,2.200303490136535,0.0,0.0,25.3,213.7,0,0,1
2014-01-01,77.14500000000001,51.195,40.55,6.6,12.316129032258065,1,2014,40.725,40.41,39.540000000000006,77.14500000000001,77.14500000000001,77.14500000000001,53.805,53.805,53.805,40.13125,38.176875,77.14500000000001,76.14812500000001,53.805,53.69875,2.1957340025094085,0.0,0.0,10.9,25.0,0,0,1
2014-02-01,77.14500000000001,51.305,40.790000000000006,33.9,13.273214285714284,2,2014,40.55,40.725,39.85,77.14500000000001,77.14500000000001,77.14500000000001,51.195,53.805,53.805,40.38375,38.94562500000001,77.14500000000001,76.42500000000001,53.152499999999996,53.450624999999995,0.34644889878743257,0.0,-4.8508502927237185,1.4,25.3,0,0,1
2014-03-01,77.14500000000001,53.215,41.35,82.2,18.206451612903223,3,2014,40.790000000000006,40.55,40.41,77.14500000000001,77.14500000000001,77.14500000000001,51.305,51.195,53.805,40.618750000000006,39.5575,77.14500000000001,76.701875,52.5275,53.21625,0.15960712093310292,0.0,-4.646408326363716,6.6,10.9,0,0,0
2014-04-01,77.14500000000001,52.68,39.555,23.7,24.313333333333333,4,2014,41.35,40.790000000000006,40.725,77.14500000000001,77.14500000000001,77.14500000000001,53.215,51.305,53.805,40.853750000000005,40.179375,77.14500000000001,76.97875,52.38,53.095625,1.9728729963008673,0.0,3.9456978220529404,33.9,1.4,0,1,0
2014-05-01,77.14500000000001,52.815,36.675,43.7,29.69516129032258,5,2014,39.555,41.35,40.55,77.14500000000001,77.14500000000001,77.14500000000001,52.68,53.215,51.195,40.56125,40.346250000000005,77.14500000000001,77.14500000000001,52.09875,52.951874999999994,-3.0277028683501017,0.0,2.680050677321888,82.2,6.6,1,1,0
2014-06-01,78.08500000000001,54.010000000000005,36.55,25.0,34.49166666666667,6,2014,36.675,39.555,40.790000000000006,77.14500000000001,77.14500000000001,77.14500000000001,52.815,52.68,51.305,39.5925,39.988125,77.14500000000001,77.14500000000001,52.503750000000004,52.828125,-11.305925030229758,0.0,-0.7516677628488289,23.7,33.9,1,0,0
2014-07-01,78.39500000000001,56.705,37.64,104.2,31.52258064516129,7,2014,36.55,36.675,41.35,78.08500000000001,77.14500000000001,77.14500000000001,54.010000000000005,52.815,53.215,38.5325,39.575624999999995,77.38000000000001,77.26250000000002,53.18,52.853750000000005,-7.5970168120338855,1.2184846717220754,2.524677296886879,43.7,82.2,1,0,0
2014-08-01,78.39500000000001,57.975,39.44,65.2,30.81935483870968,8,2014,37.64,36.55,39.555,78.39500000000001,78.08500000000001,77.14500000000001,56.705,54.010000000000005,52.68,37.605000000000004,39.229375000000005,77.69250000000001,77.41875000000002,54.0525,53.21625,2.6312201772324517,1.620325361332564,7.365331818612142,25.0,23.7,1,0,0
2014-09-01,78.39500000000001,60.335,39.575,237.3,27.828333333333333,9,2014,39.44,37.64,36.675,78.39500000000001,78.39500000000001,77.14500000000001,57.975,56.705,52.815,37.57625,39.068749999999994,78.00500000000001,77.575,55.37625,53.7375,7.906976744186056,0.3970032656720246,7.34123310498056,104.2,43.7,0,0,0
2014-10-01,78.39500000000001,58.81,39.4,22.1,24.75,10,2014,39.575,39.44,36.55,78.39500000000001,78.39500000000001,78.08500000000001,60.335,57.975,54.010000000000005,38.301249999999996,38.946875000000006,78.31750000000001,77.73125,57.25625,54.88,5.1408076514346535,0.0,6.401551891367618,65.2,25.0,0,0,0
2014-11-01,78.39500000000001,56.915,39.26,4.4,19.261666666666667,11,2014,39.4,39.575,37.64,78.39500000000001,78.39500000000001,78.39500000000001,58.81,60.335,56.705,39.01375,38.773125,78.39500000000001,77.88750000000002,58.456250000000004,55.818125,-0.10141987829613841,0.0,1.4402759810262955,237.3,104.2,0,0,1
2014-12-01,76.25,53.69,39.2,0.8,13.35483870967742,12,2014,39.26,39.4,39.44,78.39500000000001,78.39500000000001,78.39500000000001,56.915,58.81,57.975,39.41875,38.511874999999996,78.39500000000001,78.04375000000002,58.50875,56.280625,-0.7959570435881358,0.0,-5.668351702991636,22.1,65.2,0,0,1
2015-01-01,74.285,54.1,38.25,38.2,12.19516129032258,1,2015,39.2,39.26,39.575,76.25,78.39500000000001,78.39500000000001,53.69,56.915,60.335,39.35875,38.4675,77.85875000000001,77.931875,57.4375,56.406875,-0.50761421319796,-2.7361438867274823,-8.706002380547528,4.4,237.3,0,0,1
2015-02-01,74.785,54.370000000000005,38.45,72.8,15.573214285714286,2,2015,38.25,39.2,39.4,74.285,76.25,78.39500000000001,54.1,53.69,58.81,39.0275,38.66437500000001,76.83125,77.574375,55.87875,56.5675,-2.5725929699439543,-5.2426812934498574,-4.945972063603621,0.8,22.1,0,0,1
2015-03-01,74.285,54.1,38.25,139.5,18.17258064516129,3,2015,38.45,38.25,39.26,74.785,74.285,78.39500000000001,54.370000000000005,54.1,56.915,38.79,38.901875000000004,75.92875000000001,77.161875,54.76875,56.6125,-1.913265306122447,-1.921311475409837,1.266530080089412,38.2,4.4,0,0,0
